player1,player2,score,url_match,score_set,table,time
Талтыкин М,Солдусов О,- : -,https://tt.sport-liga.pro/games/324609,не сыгран,А5,19:30
Солдусов О,Селькин В,- : -,https://tt.sport-liga.pro/games/324610,не сыгран,А5,19:30
Земит И,Талтыкин М,- : -,https://tt.sport-liga.pro/games/324611,не сыгран,А5,19:30
Алов Р,Игнатов М,- : -,https://tt.sport-liga.pro/games/324542,не сыгран,А3,16:00
Молодцов Д,Фурсов П,- : -,https://tt.sport-liga.pro/games/324543,не сыгран,А3,16:00
Игнатов М,Молодцов Д,- : -,https://tt.sport-liga.pro/games/324544,не сыгран,А3,16:00
Фурсов П,Алов Р,- : -,https://tt.sport-liga.pro/games/324545,не сыгран,А3,16:00
Алов Р,Молодцов Д,- : -,https://tt.sport-liga.pro/games/324546,не сыгран,А3,16:00
Игнатов М,Фурсов П,- : -,https://tt.sport-liga.pro/games/324547,не сыгран,А3,16:00
Понтус А,Кернога П,- : -,https://tt.sport-liga.pro/games/324674,не сыгран,А15,16:00
Осадчий А,Храмеев А,- : -,https://tt.sport-liga.pro/games/324675,не сыгран,А15,16:00
Кернога П,Осадчий А,- : -,https://tt.sport-liga.pro/games/324676,не сыгран,А15,16:00
Храмеев А,Понтус А,- : -,https://tt.sport-liga.pro/games/324677,не сыгран,А15,16:00
Понтус А,Осадчий А,- : -,https://tt.sport-liga.pro/games/324678,не сыгран,А15,16:00
Кернога П,Храмеев А,- : -,https://tt.sport-liga.pro/games/324679,не сыгран,А15,16:00
Демченко В,Савинский А,- : -,https://tt.sport-liga.pro/games/324566,не сыгран,А4,15:45
Ермолов Д,Свердлов М,- : -,https://tt.sport-liga.pro/games/324567,не сыгран,А4,15:45
Савинский А,Ермолов Д,- : -,https://tt.sport-liga.pro/games/324568,не сыгран,А4,15:45
Свердлов М,Демченко В,- : -,https://tt.sport-liga.pro/games/324569,не сыгран,А4,15:45
Демченко В,Ермолов Д,- : -,https://tt.sport-liga.pro/games/324570,не сыгран,А4,15:45
