23:45,11 Мая 2024 - 12 Мая 2024,А6,550-600,Никулин С,Кутузов О,1 : 3,(11-8 7-11 6-11 8-11),https://tt.sport-liga.pro/games/322555
23:45,11 Мая 2024 - 12 Мая 2024,А6,550-600,Турабеков Т,Лопатин С,0 : 3,(2-11 6-11 9-11),https://tt.sport-liga.pro/games/322556
23:45,11 Мая 2024 - 12 Мая 2024,А6,550-600,Кутузов О,Турабеков Т,3 : 1,(11-9 11-6 13-15 12-10),https://tt.sport-liga.pro/games/322850
23:45,11 Мая 2024 - 12 Мая 2024,А6,550-600,Никулин С,Лопатин С,1 : 3,(5-11 6-11 13-11 9-11),https://tt.sport-liga.pro/games/322851
07:30,11 Мая 2024,А5,250-300,Плищенко С,Щавелев Н,3 : 1,(14-12 11-7 10-12 11-8),https://tt.sport-liga.pro/games/322489
07:30,11 Мая 2024,А5,250-300,Бисеров М,Дворниченко Ю,1 : 3,(4-11 4-11 11-6 7-11),https://tt.sport-liga.pro/games/322490
07:30,11 Мая 2024,А5,250-300,Щавелев Н,Бисеров М,3 : 0,(11-9 17-15 11-9),https://tt.sport-liga.pro/games/322491
07:30,11 Мая 2024,А5,250-300,Дворниченко Ю,Плищенко С,2 : 3,(11-6 11-8 10-12 10-12 7-11),https://tt.sport-liga.pro/games/322492
07:30,11 Мая 2024,А5,250-300,Плищенко С,Бисеров М,3 : 2,(9-11 11-8 4-11 11-4 11-7),https://tt.sport-liga.pro/games/322493
07:30,11 Мая 2024,А5,250-300,Щавелев Н,Дворниченко Ю,3 : 1,(11-8 6-11 11-6 11-8),https://tt.sport-liga.pro/games/322494
07:30,11 Мая 2024,А5,250-300,Дворниченко Ю,Бисеров М,3 : 0,(11-4 11-4 11-3),https://tt.sport-liga.pro/games/322804
07:30,11 Мая 2024,А5,250-300,Плищенко С,Щавелев Н,3 : 1,(11-13 11-4 11-7 11-9),https://tt.sport-liga.pro/games/322805
07:45,11 Мая 2024,А4,300-350,Ланин С,Акуленко Е,2 : 3,(11-7 9-11 8-11 11-8 7-11),https://tt.sport-liga.pro/games/322455
07:45,11 Мая 2024,А4,300-350,Кононенко Т,Карповкин Г,3 : 1,(10-12 11-8 11-8 11-9),https://tt.sport-liga.pro/games/322456
07:45,11 Мая 2024,А4,300-350,Акуленко Е,Кононенко Т,3 : 1,(11-7 7-11 12-10 11-8),https://tt.sport-liga.pro/games/322457
07:45,11 Мая 2024,А4,300-350,Карповкин Г,Ланин С,0 : 3,(7-11 10-12 2-11),https://tt.sport-liga.pro/games/322458
07:45,11 Мая 2024,А4,300-350,Ланин С,Кононенко Т,3 : 0,(11-3 13-11 11-1),https://tt.sport-liga.pro/games/322459
07:45,11 Мая 2024,А4,300-350,Акуленко Е,Карповкин Г,3 : 0,(11-7 11-7 11-9),https://tt.sport-liga.pro/games/322460
07:45,11 Мая 2024,А4,300-350,Кононенко Т,Карповкин Г,3 : 0,(11-6 12-10 11-5),https://tt.sport-liga.pro/games/322808
07:45,11 Мая 2024,А4,300-350,Акуленко Е,Ланин С,2 : 3,(5-11 11-5 6-11 11-5 9-11),https://tt.sport-liga.pro/games/322809
07:45,11 Мая 2024,А6,600-700,Головачев Э,Афанасьев М А,1 : 3,(6-11 11-9 9-11 12-14),https://tt.sport-liga.pro/games/322523
07:45,11 Мая 2024,А6,600-700,Кутенков Д,Ляличев Д,3 : 2,(9-11 11-8 8-11 11-8 11-8),https://tt.sport-liga.pro/games/322524
07:45,11 Мая 2024,А6,600-700,Афанасьев М А,Кутенков Д,1 : 3,(8-11 11-9 9-11 9-11),https://tt.sport-liga.pro/games/322525
07:45,11 Мая 2024,А6,600-700,Ляличев Д,Головачев Э,2 : 3,(6-11 11-7 12-10 6-11 10-12),https://tt.sport-liga.pro/games/322526
07:45,11 Мая 2024,А6,600-700,Головачев Э,Кутенков Д,3 : 0,(11-6 11-7 11-5),https://tt.sport-liga.pro/games/322527
07:45,11 Мая 2024,А6,600-700,Афанасьев М А,Ляличев Д,3 : 0,(11-3 11-9 11-9),https://tt.sport-liga.pro/games/322528
07:45,11 Мая 2024,А6,600-700,Кутенков Д,Ляличев Д,2 : 3,(11-13 10-12 11-9 11-9 9-11),https://tt.sport-liga.pro/games/322806
07:45,11 Мая 2024,А6,600-700,Афанасьев М А,Головачев Э,2 : 3,(7-11 11-7 11-8 8-11 4-11),https://tt.sport-liga.pro/games/322807
08:00,11 Мая 2024,А3,450-500,Антонов Р,Новиков И,1 : 3,(6-11 9-11 11-7 7-11),https://tt.sport-liga.pro/games/322431
08:00,11 Мая 2024,А3,450-500,Гущин С,Марченко М,2 : 3,(5-11 11-8 6-11 11-8 11-13),https://tt.sport-liga.pro/games/322432
08:00,11 Мая 2024,А3,450-500,Новиков И,Гущин С,1 : 3,(12-14 11-8 6-11 8-11),https://tt.sport-liga.pro/games/322433
08:00,11 Мая 2024,А3,450-500,Марченко М,Антонов Р,2 : 3,(11-6 11-9 4-11 10-12 11-13),https://tt.sport-liga.pro/games/322434
08:00,11 Мая 2024,А3,450-500,Антонов Р,Гущин С,2 : 3,(11-4 8-11 8-11 11-4 6-11),https://tt.sport-liga.pro/games/322435
08:00,11 Мая 2024,А3,450-500,Новиков И,Марченко М,3 : 0,(11-6 11-3 14-12),https://tt.sport-liga.pro/games/322436
08:00,11 Мая 2024,А3,450-500,Антонов Р,Марченко М,3 : 1,(11-9 5-11 13-11 11-5),https://tt.sport-liga.pro/games/322810
08:00,11 Мая 2024,А3,450-500,Гущин С,Новиков И,2 : 3,(8-11 7-11 11-8 11-6 9-11),https://tt.sport-liga.pro/games/322811
08:00,11 Мая 2024,А15,450-500,Синявский В,Задемленюк Н,3 : 2,(6-11 11-8 13-11 6-11 11-5),https://tt.sport-liga.pro/games/322575
08:00,11 Мая 2024,А15,450-500,Скипор В,Гаевский В,2 : 3,(11-7 5-11 8-11 11-9 7-11),https://tt.sport-liga.pro/games/322576
08:00,11 Мая 2024,А15,450-500,Задемленюк Н,Скипор В,1 : 3,(3-11 13-11 5-11 5-11),https://tt.sport-liga.pro/games/322577
08:00,11 Мая 2024,А15,450-500,Гаевский В,Синявский В,3 : 1,(11-5 7-11 11-7 11-9),https://tt.sport-liga.pro/games/322578
08:00,11 Мая 2024,А15,450-500,Синявский В,Скипор В,3 : 2,(7-11 16-14 11-5 5-11 11-7),https://tt.sport-liga.pro/games/322579
08:00,11 Мая 2024,А15,450-500,Задемленюк Н,Гаевский В,3 : 1,(12-10 10-12 11-6 11-5),https://tt.sport-liga.pro/games/322580
08:00,11 Мая 2024,А15,450-500,Скипор В,Задемленюк Н,3 : 1,(11-8 6-11 11-7 11-4),https://tt.sport-liga.pro/games/322812
08:00,11 Мая 2024,А15,450-500,Гаевский В,Синявский В,3 : 0,(11-8 11-5 11-5),https://tt.sport-liga.pro/games/322813
11:30,11 Мая 2024,А5,350-400,Мусликов С,Пойдашев А,1 : 3,(13-11 8-11 8-11 11-13),https://tt.sport-liga.pro/games/322495
11:30,11 Мая 2024,А5,350-400,Екжанов А,Мережко А,3 : 0,(11-7 11-7 11-5),https://tt.sport-liga.pro/games/322496
11:30,11 Мая 2024,А5,350-400,Пойдашев А,Екжанов А,2 : 3,(8-11 10-12 12-10 11-5 6-11),https://tt.sport-liga.pro/games/322497
11:30,11 Мая 2024,А5,350-400,Мережко А,Мусликов С,3 : 1,(11-9 11-8 10-12 13-11),https://tt.sport-liga.pro/games/322498
11:30,11 Мая 2024,А5,350-400,Мусликов С,Екжанов А,3 : 2,(11-5 10-12 11-8 5-11 12-10),https://tt.sport-liga.pro/games/322499
11:30,11 Мая 2024,А5,350-400,Пойдашев А,Мережко А,0 : 3,(6-11 11-13 9-11),https://tt.sport-liga.pro/games/322500
11:30,11 Мая 2024,А5,350-400,Пойдашев А,Мусликов С,1 : 3,(6-11 11-13 11-3 8-11),https://tt.sport-liga.pro/games/322814
11:30,11 Мая 2024,А5,350-400,Екжанов А,Мережко А,3 : 2,(11-9 11-8 9-11 10-12 11-8),https://tt.sport-liga.pro/games/322815
11:45,11 Мая 2024,А4,400-450,Кутин В,Демченко В,3 : 2,(11-6 7-11 7-11 11-6 13-11),https://tt.sport-liga.pro/games/322461
11:45,11 Мая 2024,А4,400-450,Лбов Ю,Вологжанин В,2 : 3,(11-4 4-11 12-10 10-12 8-11),https://tt.sport-liga.pro/games/322462
11:45,11 Мая 2024,А4,400-450,Демченко В,Лбов Ю,0 : 3,(5-11 7-11 7-11),https://tt.sport-liga.pro/games/322463
11:45,11 Мая 2024,А4,400-450,Вологжанин В,Кутин В,2 : 3,(8-11 9-11 11-4 11-7 10-12),https://tt.sport-liga.pro/games/322464
11:45,11 Мая 2024,А4,400-450,Кутин В,Лбов Ю,3 : 2,(11-9 3-11 11-7 8-11 11-9),https://tt.sport-liga.pro/games/322465
11:45,11 Мая 2024,А4,400-450,Демченко В,Вологжанин В,0 : 3,(9-11 6-11 7-11),https://tt.sport-liga.pro/games/322466
11:45,11 Мая 2024,А4,400-450,Лбов Ю,Демченко В,2 : 3,(11-9 8-11 11-7 7-11 8-11),https://tt.sport-liga.pro/games/322824
11:45,11 Мая 2024,А4,400-450,Кутин В,Вологжанин В,2 : 3,(11-4 7-11 6-11 11-8 9-11),https://tt.sport-liga.pro/games/322825
11:45,11 Мая 2024,А6,800-900,Баталов А,Рахматов А,1 : 3,(6-11 6-11 13-11 5-11),https://tt.sport-liga.pro/games/322529
11:45,11 Мая 2024,А6,800-900,Пищук Д,Инназаров А,1 : 3,(5-11 10-12 11-4 5-11),https://tt.sport-liga.pro/games/322530
11:45,11 Мая 2024,А6,800-900,Рахматов А,Пищук Д,3 : 2,(6-11 11-4 6-11 11-5 11-7),https://tt.sport-liga.pro/games/322531
11:45,11 Мая 2024,А6,800-900,Инназаров А,Баталов А,2 : 3,(11-9 4-11 9-11 11-9 6-11),https://tt.sport-liga.pro/games/322532
11:45,11 Мая 2024,А6,800-900,Баталов А,Пищук Д,2 : 3,(9-11 10-12 11-5 11-4 8-11),https://tt.sport-liga.pro/games/322533
11:45,11 Мая 2024,А6,800-900,Рахматов А,Инназаров А,3 : 2,(11-3 3-11 11-7 7-11 11-5),https://tt.sport-liga.pro/games/322534
11:45,11 Мая 2024,А6,800-900,Баталов А,Пищук Д,1 : 3,(11-9 12-14 9-11 11-13),https://tt.sport-liga.pro/games/322822
11:45,11 Мая 2024,А6,800-900,Рахматов А,Инназаров А,3 : 0,(11-7 11-7 11-3),https://tt.sport-liga.pro/games/322823
